value,"Temperature, K",property,unit,cmp_ids_solvent,cmp_mole_fractions_solvent,cmp_ids_drug,cmp_mole_fractions_drug
1.6658,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.3, 0.7]",[29],[1.0]
1.6596,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.4, 0.6]",[29],[1.0]
1.6545,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.5, 0.5]",[29],[1.0]
1.6504,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.6, 0.4]",[29],[1.0]
1.6474,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.7, 0.3]",[29],[1.0]
1.6441,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.8, 0.2]",[29],[1.0]
1.6412,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.9, 0.1]",[29],[1.0]
1.7127,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.1, 0.9]",[29],[1.0]
1.7044,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.2, 0.8]",[29],[1.0]
1.6969,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.3, 0.7]",[29],[1.0]
1.6905,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.4, 0.6]",[29],[1.0]
1.6858,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.5, 0.5]",[29],[1.0]
1.6816,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.6, 0.4]",[29],[1.0]
1.6774,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.7, 0.3]",[29],[1.0]
1.6744,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.8, 0.2]",[29],[1.0]
1.6722,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.9, 0.1]",[29],[1.0]
1.7417,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.1, 0.9]",[29],[1.0]
1.7331,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.2, 0.8]",[29],[1.0]
1.7258,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.3, 0.7]",[29],[1.0]
1.7197,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.4, 0.6]",[29],[1.0]
1.7144,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.5, 0.5]",[29],[1.0]
1.7103,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.6, 0.4]",[29],[1.0]
1.7067,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.7, 0.3]",[29],[1.0]
1.7036,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.8, 0.2]",[29],[1.0]
1.7017,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.9, 0.1]",[29],[1.0]
1.7692,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.1, 0.9]",[29],[1.0]
1.7611,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.2, 0.8]",[29],[1.0]
1.7535,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.3, 0.7]",[29],[1.0]
1.7476,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.4, 0.6]",[29],[1.0]
1.7425,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.5, 0.5]",[29],[1.0]
1.7382,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.6, 0.4]",[29],[1.0]
1.7347,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.7, 0.3]",[29],[1.0]
1.7319,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.8, 0.2]",[29],[1.0]
1.7289,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.9, 0.1]",[29],[1.0]
1.7939,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.1, 0.9]",[29],[1.0]
1.7861,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.2, 0.8]",[29],[1.0]
1.7791,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.3, 0.7]",[29],[1.0]
1.7736,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.4, 0.6]",[29],[1.0]
1.7688,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.5, 0.5]",[29],[1.0]
1.7648,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.6, 0.4]",[29],[1.0]
1.7618,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.7, 0.3]",[29],[1.0]
1.7584,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.8, 0.2]",[29],[1.0]
1.7559,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.9, 0.1]",[29],[1.0]
1.8175,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.1, 0.9]",[29],[1.0]
1.8095,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.2, 0.8]",[29],[1.0]
1.8027,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.3, 0.7]",[29],[1.0]
1.7974,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.4, 0.6]",[29],[1.0]
1.7926,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.5, 0.5]",[29],[1.0]
1.7887,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.6, 0.4]",[29],[1.0]
1.7854,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.7, 0.3]",[29],[1.0]
1.7823,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.8, 0.2]",[29],[1.0]
1.7798,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.9, 0.1]",[29],[1.0]
0.6431,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
0.8281,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
0.9649,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.0741,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.1662,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.2468,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.318,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.3844,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.4455,278.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
0.7176,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
0.8903,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.0233,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.1284,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.2174,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.2942,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.365,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.4274,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.4869,283.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
0.7867,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
0.9503,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.078,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.1775,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.263,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.3372,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.4048,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.4652,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.5212,288.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
0.8591,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
1.0135,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.132,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.2293,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.3099,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.3818,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.447,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.505,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.5579,293.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
0.9259,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
1.0729,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.1838,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.2769,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.3551,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.4229,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.4855,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.5404,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.5915,298.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
0.9971,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
1.1346,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.239,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.3261,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.4008,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.4665,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.5255,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.5775,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.6258,303.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
1.0678,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
1.1932,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.2915,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.3742,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.4448,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.5073,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.5632,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.6128,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.6577,308.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
1.1336,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
1.2509,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.3419,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.4209,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.4881,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.5469,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.6001,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.6459,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.6885,313.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
1.1993,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
1.3098,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.3936,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.4675,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.53,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.5844,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.6345,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.6781,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.7178,318.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
1.2658,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.1, 0.9]",[29],[1.0]
1.365,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.2, 0.8]",[29],[1.0]
1.4423,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.3, 0.7]",[29],[1.0]
1.5109,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.4, 0.6]",[29],[1.0]
1.5683,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.5, 0.5]",[29],[1.0]
1.6204,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.6, 0.4]",[29],[1.0]
1.6674,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.7, 0.3]",[29],[1.0]
1.7076,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.8, 0.2]",[29],[1.0]
1.7444,323.15,Log solubility,g/L,"[130.0, 145.0]","[0.9, 0.1]",[29],[1.0]
0.4089,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
0.7068,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
0.8942,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.0257,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.1351,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.2253,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.3074,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.3788,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.4422,278.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.47,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
0.7568,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
0.9403,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.0721,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.1803,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.2731,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.3512,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.4201,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.4823,283.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.5248,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
0.806,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
0.9878,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.1182,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.2256,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.315,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.3909,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.4582,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.5184,288.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.574,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
0.8571,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
1.0338,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.1633,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.2701,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.3562,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.4308,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.4964,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.554,293.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.6252,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
0.9034,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
1.0807,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.2086,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.3125,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.3974,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.4689,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.5324,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.5889,298.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.6769,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
0.9497,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
1.1273,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.2525,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.3548,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.4359,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.5053,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.5657,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.6211,303.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.7269,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
0.998,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
1.1738,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.2967,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.3945,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.4754,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.5435,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.6002,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.6532,308.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.776,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
1.0453,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
1.2197,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.3376,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.436,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.5129,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.5786,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.6338,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.6836,313.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.828,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
1.0924,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
1.2636,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.3803,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.4759,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.5499,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.6127,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.6655,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.713,318.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.8767,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.1, 0.9]",[29],[1.0]
1.1384,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.2, 0.8]",[29],[1.0]
1.3078,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.3, 0.7]",[29],[1.0]
1.422,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.4, 0.6]",[29],[1.0]
1.513,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.5, 0.5]",[29],[1.0]
1.585,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.6, 0.4]",[29],[1.0]
1.6446,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.7, 0.3]",[29],[1.0]
1.6947,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.8, 0.2]",[29],[1.0]
1.7395,323.15,Log solubility,g/L,"[130.0, 164.0]","[0.9, 0.1]",[29],[1.0]
0.5905,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.1, 0.9]",[29],[1.0]
0.8953,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.2, 0.8]",[29],[1.0]
1.0788,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.3, 0.7]",[29],[1.0]
1.2118,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.4, 0.6]",[29],[1.0]
1.3189,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.5, 0.5]",[29],[1.0]
1.4067,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.6, 0.4]",[29],[1.0]
1.4863,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.7, 0.3]",[29],[1.0]
1.5529,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.8, 0.2]",[29],[1.0]
1.6159,278.15,Log solubility,g/L,"[127.0, 142.0]","[0.9, 0.1]",[29],[1.0]
0.6434,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.1, 0.9]",[29],[1.0]
0.9464,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.2, 0.8]",[29],[1.0]
1.1266,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.3, 0.7]",[29],[1.0]
1.258,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.4, 0.6]",[29],[1.0]
1.3635,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.5, 0.5]",[29],[1.0]
1.4504,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.6, 0.4]",[29],[1.0]
1.5252,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.7, 0.3]",[29],[1.0]
1.5901,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.8, 0.2]",[29],[1.0]
1.6497,283.15,Log solubility,g/L,"[127.0, 142.0]","[0.9, 0.1]",[29],[1.0]
0.6965,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.1, 0.9]",[29],[1.0]
0.9965,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.2, 0.8]",[29],[1.0]
1.1738,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.3, 0.7]",[29],[1.0]
1.3022,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.4, 0.6]",[29],[1.0]
1.4051,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.5, 0.5]",[29],[1.0]
1.4888,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.6, 0.4]",[29],[1.0]
1.5627,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.7, 0.3]",[29],[1.0]
1.6235,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.8, 0.2]",[29],[1.0]
1.6808,288.15,Log solubility,g/L,"[127.0, 142.0]","[0.9, 0.1]",[29],[1.0]
0.7511,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.1, 0.9]",[29],[1.0]
1.0476,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.2, 0.8]",[29],[1.0]
1.2215,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.3, 0.7]",[29],[1.0]
1.3478,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.4, 0.6]",[29],[1.0]
1.4467,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.5, 0.5]",[29],[1.0]
1.5276,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.6, 0.4]",[29],[1.0]
1.598,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.7, 0.3]",[29],[1.0]
1.6572,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.8, 0.2]",[29],[1.0]
1.7099,293.15,Log solubility,g/L,"[127.0, 142.0]","[0.9, 0.1]",[29],[1.0]
0.8062,298.15,Log solubility,g/L,"[127.0, 142.0]","[0.1, 0.9]",[29],[1.0]
1.0945,298.15,Log solubility,g/L,"[127.0, 142.0]","[0.2, 0.8]",[29],[1.0]
1.2661,298.15,Log solubility,g/L,"[127.0, 142.0]","[0.3, 0.7]",[29],[1.0]
1.3901,298.15,Log solubility,g/L,"[127.0, 142.0]","[0.4, 0.6]",[29],[1.0]
1.4854,298.15,Log solubility,g/L,"[127.0, 142.0]","[0.5, 0.5]",[29],[1.0]
